Date	MEAN_TEMP	HIGH_TEMP	LOW_TEMP	PRECIPITATION	REL_HUMIDITY	WIND_SPEED
1/1/2016	32.8	36.64	28.96	2.59	69.67	9.32
1/2/2016	30.69	34.53	26.85	1.57	66.93	8.41
1/3/2016	31.39	38.89	23.88	2.38	70.33	8.61
1/4/2016	17.12	26.89	7.35	1.09	62.89	10.04
1/5/2016	13.5	23.42	3.58	0.24	62.28	4.76
1/6/2016	24.86	37.69	12.04	0.06	49.24	4.51
1/7/2016	28.75	41.28	16.22	0.03	54.92	1.75
1/8/2016	29.94	40.97	18.92	1.34	70.65	4.89
1/9/2016	40.96	45.65	36.27	3.08	81.02	7.58
1/10/2016	42.9	53.09	32.71	68.26	85.71	7.67
1/11/2016	25.44	33.21	17.67	8.69	52.52	12.35
1/12/2016	24.7	33.84	15.55	3.33	68.48	7.71
1/13/2016	20.59	25.61	15.57	2.84	58.65	11.5
1/14/2016	23.11	30.85	15.37	2.89	70.9	5.24
1/15/2016	33.72	43.69	23.76	0.51	75.43	4.28
1/16/2016	36.71	43.33	30.09	18.1	77.55	6.95
1/17/2016	28.2	34.71	21.68	4.1	72.23	5.1
1/18/2016	19.4	25.22	13.57	3.97	61.93	12.89
1/19/2016	17.8	23.82	11.78	1.38	62.59	13.69
1/20/2016	23.42	29.21	17.62	0.62	64.96	6.71
1/21/2016	21.23	28.41	14.05	0.68	67.37	6.46
1/22/2016	17.79	26.19	9.4	0.45	63.48	4.63
1/23/2016	18.83	25.47	12.2	10.7	74.38	9.87
1/24/2016	19.16	29.31	9.01	0.52	70.35	5.2
1/25/2016	28.11	37.57	18.65	0.21	64.6	3.96
1/26/2016	36.91	47.14	26.68	3.67	72.41	9.7
1/27/2016	32.71	39.65	25.77	2	68.3	8.03
1/28/2016	30.68	40.18	21.17	0.57	65.03	6.6
1/29/2016	30.44	37.04	23.84	2.16	70.33	8.5
1/30/2016	31.88	42.27	21.5	0.49	60.37	6.9
1/31/2016	43.35	53.41	33.29	0.59	58.74	6.04
2/1/2016	44.6	55.85	33.35	2.21	63.45	7.06
2/2/2016	36.08	44.54	27.62	0.44	65.4	3.49
2/3/2016	44.3	54.76	33.84	55.03	82.7	9.91
2/4/2016	41.46	48.7	34.22	13.95	71.75	6.69
2/5/2016	30.74	36.93	24.55	15.24	68.27	7.37
2/6/2016	30.34	38.38	22.31	0.8	65.2	6.39
2/7/2016	33.81	44.32	23.3	0.08	63.81	3.58
2/8/2016	32.1	38.68	25.53	3.68	63.81	7.77
2/9/2016	29.4	34.1	24.7	3.33	78.95	5.01
2/10/2016	27.53	33.65	21.41	3.54	76.14	8.33
2/11/2016	16.24	23.45	9.04	2.85	58.75	12.46
2/12/2016	14.04	23.29	4.78	2.59	63.77	7.59
2/13/2016	7.01	18.38	-4.36	1.15	56.58	13.06
2/14/2016	-1.34	9.02	-11.69	0.27	56.64	5.38
2/15/2016	13.27	29.14	-2.61	13.6	72.46	5.8
2/16/2016	35.02	43.96	26.07	70.64	89.35	6.44
2/17/2016	29.47	34.93	24.02	16.59	77.2	7.41
2/18/2016	19.43	27.75	11.11	0.47	60.94	6.22
2/19/2016	24.15	38.84	9.45	1.41	60.68	7.1
2/20/2016	45.42	55.38	35.47	6.26	57.56	10.52
2/21/2016	39.22	46.68	31.76	3.41	72.36	4.71
2/22/2016	29.96	38.23	21.68	0.21	61.32	4.62
2/23/2016	28.95	37.9	20	6.32	71.64	6.71
2/24/2016	39.76	47.43	32.08	84.82	89.32	8.07
2/25/2016	40.03	49.94	30.12	34.13	82.14	9.76
2/26/2016	25.26	31.56	18.97	1.67	56.72	12.59
2/27/2016	28.31	38.71	17.91	1.06	61.41	8.69
2/28/2016	43.93	56.55	31.31	0.58	53.39	9.13
2/29/2016	42.53	55.07	29.99	6.9	63.04	10.6
3/1/2016	32.69	42.42	22.96	4.15	52.78	5.45
3/2/2016	31.77	43.66	19.86	13.79	60.93	11.82
3/3/2016	21.3	27.87	14.72	0.79	54.22	4.49
3/4/2016	25.57	33.02	18.13	2.11	65.22	5.24
3/5/2016	25.56	34.17	16.94	0.19	58.36	2.85
3/6/2016	30.24	40.2	20.27	0.16	59.49	2.4
3/7/2016	40.52	52.81	28.22	0.93	64.06	6.69
3/8/2016	48.06	61.01	35.11	0.36	63.02	3.29
3/9/2016	56.72	71.83	41.61	1.95	57.05	7.12
3/10/2016	56.19	64.55	47.82	26.33	80.51	4.16
3/11/2016	43.46	52.48	34.43	12.74	77.08	6.43
3/12/2016	43.49	58.46	28.52	0.24	60.52	4.42
3/13/2016	46.17	55.82	36.51	0.62	53.79	4.37
3/14/2016	44.12	49.42	38.8	27.56	73.47	9.71
3/15/2016	47.14	53.43	40.86	4.38	81.03	5.39
3/16/2016	50.61	60.07	41.16	10.67	76.69	3.87
3/17/2016	47.93	58.2	37.67	7.44	60.8	7.86
3/18/2016	39.76	48.05	31.47	2.59	63.36	8.89
3/19/2016	31.6	39.59	23.62	0.16	46.41	5.59
3/20/2016	30.58	39.96	21.2	1.21	48.83	4.53
3/21/2016	33.91	42.92	24.91	2.45	55.18	8.64
3/22/2016	38.49	50.66	26.33	1.22	53.18	6.96
3/23/2016	46.45	55.52	37.4	5.36	60.59	5.54
3/24/2016	44.34	54.02	34.68	6.1	69.95	8.2
3/25/2016	45.97	58.52	33.42	13.41	77.05	7.28
3/26/2016	39.81	50.13	29.5	1.75	63.3	3.49
3/27/2016	45.35	58.9	31.81	0.16	66.02	5.86
3/28/2016	46.72	55.69	37.75	35.9	76.77	8.61
3/29/2016	38.68	45.88	31.47	6.79	50.53	12.84
3/30/2016	42.26	57.83	26.68	0.14	44.38	6.85
3/31/2016	57.28	67.02	47.53	10	58.81	11.91
4/1/2016	55.96	66.61	45.31	13.79	74.01	9.07
4/2/2016	43.24	50.86	35.61	15.15	72.06	5.72
4/3/2016	31.23	38.17	24.29	12.67	56.63	12.29
4/4/2016	27.26	33.93	20.59	19.79	74.4	7.03
4/5/2016	25.01	34.91	15.11	0.57	48.98	6.57
4/6/2016	32.64	46.14	19.11	2.23	55.09	7.48
4/7/2016	45.84	54	37.68	25.67	76.03	8.5
4/8/2016	35.79	42.38	29.19	9.74	67.14	10.04
4/9/2016	31.63	38.79	24.47	2.72	62.17	6.37
4/10/2016	32.58	42.17	22.97	2.24	51.99	4.93
4/11/2016	44.75	52.86	36.66	15.26	77.65	9.49
4/12/2016	42.53	50.6	34.46	20.97	68.97	7.55
4/13/2016	38.96	49.27	28.64	1.26	54.85	3.94
4/14/2016	42.23	55.52	28.94	0.03	49.26	4.38
4/15/2016	46.74	62.1	31.38	0.01	43.14	3.93
4/16/2016	50.8	65.67	35.94	0.06	38.14	4.18
4/17/2016	54.47	71.52	37.41	0.06	39.99	2.34
4/18/2016	56.72	72.98	40.46	0.44	42.19	3.69
4/19/2016	52.45	63.22	41.7	1.21	50.28	7.82
4/20/2016	49.9	63.02	36.78	0.11	38.26	3.78
4/21/2016	55.14	72.12	38.16	0.47	46.36	5.19
4/22/2016	60.37	69.97	50.77	8.18	71.78	4.44
4/23/2016	49.62	58.91	40.33	8.1	61.31	7.93
4/24/2016	46.2	58.19	34.21	0.03	40.82	3.49
4/25/2016	49.85	58.59	41.13	2.18	51.16	4.31
4/26/2016	43.36	50.67	36.05	22.69	83.4	6.18
4/27/2016	43.82	55.05	32.59	3.31	57.3	3.6
4/28/2016	44.28	54.65	33.9	0.21	47.28	4.31
4/29/2016	46.4	54.45	38.36	5.22	58.01	4.56
4/30/2016	50	60.62	39.37	2.5	58.12	3.32
5/1/2016	47.7	52.78	42.62	21.1	82.34	5.14
5/2/2016	47.71	53	42.4	24.67	89.21	3.53
5/3/2016	48.51	54.9	42.12	24.46	82.87	3.23
5/4/2016	49.84	56.18	43.52	11.08	80.79	4.78
5/5/2016	51.39	57.99	44.78	2.67	73.68	7.64
5/6/2016	52.45	60.25	44.65	18.93	72.43	6.68
5/7/2016	55.22	64.1	46.33	7.67	73.75	3.92
5/8/2016	51.6	60.52	42.68	9.05	62.11	8.41
5/9/2016	49.81	61.39	38.22	0.69	50.96	6.26
5/10/2016	49.8	63.68	35.93	0.08	48.06	3.07
5/11/2016	56.02	72.57	39.46	0.03	47.66	2.91
5/12/2016	61.51	78.38	44.65	0.1	52.44	3.69
5/13/2016	59.9	68.28	51.52	27.69	78.98	6.58
5/14/2016	57.05	67.54	46.56	10.77	69.64	7.2
5/15/2016	45.77	51.9	39.64	5.67	58.84	12.63
5/16/2016	48.76	59.95	37.58	1.77	48.15	11.11
5/17/2016	52.5	63.02	41.97	0.26	59.46	4.9
5/18/2016	52.42	63.93	40.93	0.36	58.75	3.07
5/19/2016	54.8	66.54	43.04	2.64	59.25	3.45
5/20/2016	57.85	72.94	42.75	0.23	52.28	2.34
5/21/2016	57.27	67.64	46.89	1.92	66.05	3.12
5/22/2016	60.21	70.51	49.91	5.69	69.14	2.78
5/23/2016	62.1	76.66	47.54	2.69	58.91	3.28
5/24/2016	62.81	74.78	50.85	9.28	58.11	4.76
5/25/2016	67.8	83.74	51.85	2.18	51.67	5.24
5/26/2016	70.7	83.89	57.5	1.15	58.42	3.59
5/27/2016	73.01	84	62.02	5.49	68.62	5.47
5/28/2016	75.72	87.89	63.52	2.18	64.01	4.02
5/29/2016	75	85.31	64.69	24.85	69.89	4.6
5/30/2016	71.58	80.57	62.59	30.69	71.73	6.35
5/31/2016	69.94	80.76	59.13	1.26	59.71	4.76
6/1/2016	67.24	80.34	54.16	0.06	61.14	4.05
6/2/2016	68.23	75.53	60.93	13.56	71.94	6.68
6/3/2016	67.36	75.77	58.94	6.87	72.55	3.29
6/4/2016	68.82	80.48	57.17	2.87	67.31	2.52
6/5/2016	66.9	72.59	61.22	60.85	86.06	6.37
6/6/2016	68.88	78.4	59.37	18.15	62.45	8.09
6/7/2016	65.63	74.38	56.89	11.05	69.28	6.45
6/8/2016	56.49	62.71	50.27	14.97	67.08	10.15
6/9/2016	57.05	66.15	47.95	2.31	52.45	10.83
6/10/2016	59.36	71.95	46.76	0.01	49.33	6.23
